X;CountryCode;RegionCode
Aruba;ABW;XLA
Afghanistan;AFG;XOA
Angola;AGO;SSA
Anguilla;AIA;XLA
Aland Islands;ALA;EUR
Albania;ALB;EUR
Andorra;AND;EUR
United Arab Emirates;ARE;MEN
Argentina;ARG;XPR
Armenia;ARM;FSU
American Samoa;ASM;ANZ
Antarctica;ATA;XLA
French Southern Territories;ATF;SSA
Antigua and Barbuda;ATG;XLA
Australia;AUS;ANZ
Austria;AUT;EUR
Azerbaijan;AZE;FSU
Burundi;BDI;SSA
Belgium;BEL;EUR
Benin;BEN;SSA
Bonaire, Sint Eustatius and Saba;BES;XLA
Burkina Faso;BFA;SSA
Bangladesh;BGD;XSA
Bulgaria;BGR;EUR
Bahrain;BHR;MEN
Bahamas;BHS;XLA
Bosnia and Herzegovina;BIH;EUR
Saint Barthelemy;BLM;XLA
Belarus;BLR;FSU
Belize;BLZ;XLA
Bermuda;BMU;XLA
Bolivia, Plurinational State of;BOL;XPR
Brazil;BRA;XPR
Barbados;BRB;XLA
Brunei Darussalam;BRN;XOA
Bhutan;BTN;XOA
Bouvet Island;BVT;SSA
Botswana;BWA;SSA
Central African Republic;CAF;SSA
Canada;CAN;XNA
Cocos (Keeling) Islands;CCK;XOA
Switzerland;CHE;EUR
Chile;CHL;XLA
China;CHN;XEA
Cote d Ivoire;CIV;SSA
Cameroon;CMR;SSA
Congo, the Democratic Republic of the;COD;SSA
Congo;COG;SSA
Cook Islands;COK;XOA
Colombia;COL;XLA
Comoros;COM;SSA
Cape Verde;CPV;SSA
Costa Rica;CRI;XLA
Cuba;CUB;XLA
Curacao;CUW;XLA
Christmas Island;CXR;XOA
Cayman Islands;CYM;XLA
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Germany;DEU;EUR
Djibouti;DJI;SSA
Dominica;DMA;XLA
Denmark;DNK;EUR
Dominican Republic;DOM;XLA
Algeria;DZA;MEN
Ecuador;ECU;XLA
Egypt;EGY;MEN
Eritrea;ERI;SSA
Western Sahara;ESH;MEN
Spain;ESP;EUR
Estonia;EST;EUR
Ethiopia;ETH;SSA
Finland;FIN;EUR
Fiji;FJI;XOA
Falkland Islands (Malvinas);FLK;XLA
France;FRA;EUR
Faroe Islands;FRO;EUR
Micronesia, Federated States of;FSM;XOA
Gabon;GAB;SSA
United Kingdom;GBR;EUR
Georgia;GEO;FSU
Guernsey;GGY;EUR
Ghana;GHA;SSA
Gibraltar;GIB;EUR
Guinea;GIN;SSA
Guadeloupe;GLP;XLA
Gambia;GMB;SSA
Guinea-Bissau;GNB;SSA
Equatorial Guinea;GNQ;SSA
Greece;GRC;EUR
